post_id,week,type,theme,slide,role,layer,copy,char_len,overflow_risk
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,counter,01 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,top_eyebrow,Education · What is sync licensing?,35,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,headline,Nobody explained this in music school.,38,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,body,And it's worth more than anything they did teach you. ↓,55,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,footer_label,Written by,10,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,counter,02 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,section_eyebrow,Education · 1/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,stat_number,"Sync licensing = your music in film, TV, ads & games.",53,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,counter,03 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,section_eyebrow,Education · 2/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,headline,"The work, in numbers.",21,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_placed_label,One Netflix scene,17,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_placed_value,"$5,000–$20,000",14,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_roster_label,One global ad campaign,22,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_roster_value,"$10,000–$75,000",15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,footer_label,Proof,5,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,counter,04 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,section_eyebrow,Education · 3/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,stat_number,Here's the full breakdown — swipe through all 8 slides:,55,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,counter,05 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,section_eyebrow,Education · 4/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,stat_number,Here's what you need to know:,29,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,body,What sync licensing actually is · Who's involved and what they each do · What placements actually pay (with real numbers) · The two licences in every single deal,161,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,counter,06 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,section_eyebrow,Education · 5/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,stat_number,This is the foundation. Everything else builds on it.,53,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,counter,07 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,section_eyebrow,Education · 6/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,stat_number,Save this. Share it with a composer who needs to know.,54,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,counter,END · 08 / 08,13,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,section_eyebrow,Apply this week,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,headline,Open briefs. Every Tuesday.,27,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,body,"Composers: apply once, get matched for life. Supervisors: shortlist in 48h.",75,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,cta_text,Apply now,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,footer_label,Apply,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,counter,01 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,counter_small,01 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,top_eyebrow,Education · What does a sync placement actually pay?,52,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,headline,A South African composer just earned more from one Showmax documentary than,75,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,body,from 6 months of streaming royalties.,37,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,footer_label,Written by,10,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,counter,02 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,section_eyebrow,Education · 1/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,body,This is not exceptional. This is the market rate. ↓ · Here's what sync placements actually pay:,95,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,counter,03 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,section_eyebrow,Education · 3/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,headline,"The work, in numbers.",21,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,stat_placed_label,"$8,000",6,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,stat_placed_value,"$2,000",6,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,footer_label,Proof,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,footer_sublabel,Proof,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,counter,04 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,section_eyebrow,Education · 4/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,counter,05 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,section_eyebrow,Education · 5/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,counter,06 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,section_eyebrow,Education · 6/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,counter,07 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,section_eyebrow,Education · 7/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,body,You also earn performance royalties every time the content airs.,64,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,counter,08 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,section_eyebrow,Education · 9/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,counter,09 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,section_eyebrow,Education · 10/12,17,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,body,The demand is real. | What's missing is the infrastructure connecting African composers to it. · Save this. Then ask yourself: is your music in the room?,151,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,counter,END · 10 / 10,13,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,counter_small,10 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,section_eyebrow,Apply this week,15,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,headline,Open briefs. Every Tuesday.,27,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,body,"Composers: apply once, get matched for life. Supervisors: shortlist in 48h.",75,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,cta_text,Apply now,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,footer_label,Apply,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,footer_domain,syncmaster.live,15,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,eyebrow,Proof · Results,15,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,headline,No label.,9,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,body,A South African composer submitted to SyncMaster's vetting programme in Month 1.,80,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,cta,Applications open — link in bio.,32,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,brand__domain,syncmaster.live,15,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,brand__sub,Sync Licensing Infrastructure,29,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,pillar,Proof,5,
IG-PROOF-01,Week 23 · Jun 1–7,Single,dark,1,hook,geo,2026 · Q2 · Lagos · Cape Town · Nairobi,39,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,eyebrow,Culture · African Music,23,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,headline,The sound of Africa is everywhere.,34,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,body,The credit isn't.,17,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,cta,Apply at syncmaster.io,22,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,brand__domain,syncmaster.live,15,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,brand__sub,Sync Licensing Infrastructure,29,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,pillar,Culture,7,
STANDALONE-IG-01,Week 23 · Jun 1–7,Single,light,1,hook,geo,2026 · Q2 · Lagos · Cape Town · Nairobi,39,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,1,hook,counter,01 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,1,hook,top_eyebrow,Education · Master vs sync licence,34,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,1,hook,headline,Two licences. One placement. Most composers only know about one.,64,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,1,hook,footer_label,Written by,10,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,2,body,counter,02 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,2,body,section_eyebrow,Education · 1/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,2,body,stat_number,If you've ever wondered why sync deals feel complicated — every placement requires two separate legal permissions.,114,YES
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,2,body,body,↓,1,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,2,body,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,3,body,counter,03 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,3,body,section_eyebrow,Education · 2/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,3,body,stat_number,🔑 THE SYNC LICENCE | Permission to pair your composition with visual content.,75,YES
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,3,body,body,"Controlled by: the publisher (or you, if you self-publish).",59,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,3,body,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,4,body,counter,04 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,4,body,section_eyebrow,Education · 3/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,4,body,stat_number,🔑 THE MASTER LICENCE | Permission to use the specific recording.,62,YES
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,4,body,body,"Controlled by: whoever owns the master — often the label, unless you recorded independently. · One placement = two separate negotiations.",137,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,4,body,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,5,list,counter,05 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,5,list,section_eyebrow,Education · 5/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,5,list,stat_number,Here's what you need to know:,29,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,5,list,body,If a label owns your master: · They share in every sync deal you ever make · A supervisor has to negotiate with two parties · That friction kills deals,151,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,5,list,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,6,body,counter,06 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,6,body,section_eyebrow,Education · 6/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,6,body,stat_number,"""One-stop"" means you control both.",34,YES
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,6,body,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,7,body,counter,07 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,7,body,section_eyebrow,Education · 7/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,7,body,stat_number,Supervisors prioritise one-stop tracks. | Fewer calls. Faster deals. No surprises.,80,YES
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,7,body,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,8,list,counter,08 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,8,list,section_eyebrow,Education · 8/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,8,list,stat_number,Here's what you need to know:,29,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,8,list,body,What the sync licence actually covers · What the master licence covers and who typically holds it · Why one-stop status changes everything · How to protect your position before you sign anything,194,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,8,list,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,9,body,counter,09 / 10,7,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,9,body,section_eyebrow,Education · 9/10,16,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,9,body,stat_number,Save this before your next deal conversation.,45,YES
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,9,body,footer_label,Education,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,10,cta,counter,END · 10 / 10,13,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,10,cta,section_eyebrow,Apply this week,15,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,10,cta,headline,Open briefs. Every Tuesday.,27,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,10,cta,body,"Composers: apply once, get matched for life. Supervisors: shortlist in 48h.",75,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,10,cta,cta_text,Apply now,9,
IG-EDU-03,Week 24 · Jun 8–14,Carousel,dark,10,cta,footer_label,Apply,5,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,1,hook,counter,01 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,1,hook,top_eyebrow,Behind the Scenes · How vetting works,37,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,1,hook,headline,20 applications. 6 vetted.,26,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,1,hook,footer_label,Written by,10,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,2,body,counter,02 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,2,body,section_eyebrow,Behind the Scenes · 1/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,2,body,stat_number,Here's the exact checklist we use — and why we turned down 14 genuinely talented composers.,91,YES
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,2,body,body,↓,1,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,2,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,3,body,counter,03 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,3,body,section_eyebrow,Behind the Scenes · 2/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,3,body,stat_number,"The vetting process isn't about picking the ""best"" music.",57,YES
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,3,body,body,It's about picking music that's ready.,38,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,3,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,4,body,counter,04 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,4,body,section_eyebrow,Behind the Scenes · 3/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,4,body,stat_number,Because our credibility with music supervisors depends on what we pitch to them.,80,YES
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,4,body,body,THE 6-POINT CHECKLIST:,22,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,4,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,5,body,counter,05 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,5,body,section_eyebrow,Behind the Scenes · 5/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,5,body,stat_number,✓ Original compositions only (zero uncleared samples) | ✓ Clear rights chain,74,YES
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,5,body,body,"(master + publishing confirmed, documented) | ✓ Lossless files available (WAV or AIFF, not MP3) | ✓ ISRC codes assigned to every recording | ✓ Stems available on request | ✓ Sub-24-hour response time (tested in the process)",215,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,5,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,6,body,counter,06 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,6,body,section_eyebrow,Behind the Scenes · 6/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,6,body,stat_number,Of 20 applications in Month 1: 6 passed all six criteria.,57,YES
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,6,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,7,body,counter,07 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,7,body,section_eyebrow,Behind the Scenes · 7/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,7,body,stat_number,The 14 who didn't?,18,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,7,body,body,We gave each one specific written feedback. | Most gaps are fixable. They can reapply when they're ready.,103,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,7,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,8,body,counter,08 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,8,body,section_eyebrow,Behind the Scenes · 8/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,8,body,stat_number,Quality over volume.,20,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,8,body,body,Every time. | Because supervisors need to trust what we send them.,64,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,8,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,9,body,counter,09 / 10,7,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,9,body,section_eyebrow,Behind the Scenes · 9/10,24,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,9,body,stat_number,Apply when you're ready: link in bio.,37,YES
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,9,body,footer_label,Behind the Scenes,17,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,10,cta,counter,END · 10 / 10,13,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,10,cta,section_eyebrow,Apply this week,15,
IG-BTS-01,Week 24 · Jun 8–14,Carousel,dark,10,cta,headline,Open briefs. Every Tuesday.,27,
